timestamp,z_axis
0,-0.0601
10,2.769
20,1.8615
30,-1.8051
40,-2.8054
50,-0.0113
60,2.8917
70,1.7249
80,-1.8372
90,-2.7574
100,0.0309
110,2.9456
120,1.8305
130,-1.8212
140,-2.9456
150,-0.0425
160,2.8186
170,1.7273
180,-1.6867
190,-2.8382
200,0.0333
210,2.9361
220,1.8455
230,-1.8345
240,-2.8187
250,-0.0266
260,2.9315
270,1.7956
280,-1.7977
290,-2.845
300,-0.0035
310,2.834
320,1.673
330,-1.7878
340,-2.8203
350,-0.0637
360,2.7906
370,1.6643
380,-1.7649
390,-2.9307
400,-0.0704
410,2.8848
420,1.822
430,-1.8033
440,-2.896
450,0.0185
460,2.7579
470,1.7965
480,-1.7739
490,-2.8591
500,-0.0645
510,2.8326
520,1.7258
530,-1.7692
540,-2.8755
550,0.0621
560,2.8667
570,1.7444
580,-1.6948
590,-2.9001
600,-0.0988
610,2.7769
620,1.7308
630,-1.8048
640,-2.9449
650,-0.0148
660,2.7904
670,1.8443
680,-1.7991
690,-2.8527
700,0.0083
710,2.8546
720,1.7656
730,-1.8177
740,-2.883
750,-0.0298
760,2.7968
770,1.6734
780,-1.8527
790,-2.8831
800,-0.0857
810,2.8204
820,1.6682
830,-1.6907
840,-2.8444
850,0.0081
860,2.8257
870,1.7909
880,-1.7049
890,-2.7611
900,0.0123
910,2.9418
920,1.822
930,-1.6912
940,-2.7728
950,0.0039
960,2.823
970,1.8029
980,-1.8219
990,-2.8514
1000,-0.0376
1010,2.8246
1020,1.809
1030,-1.6795
1040,-2.9014
1050,-0.0638
1060,2.803
1070,1.6875
1080,-1.7575
1090,-2.9063
1100,0.0797
1110,2.9402
1120,1.812
1130,-1.6793
1140,-2.7619
1150,-0.0762
1160,2.9065
1170,1.8567
1180,-1.8356
1190,-2.8683
1200,-0.044
1210,2.7674
1220,1.6781
1230,-1.8104
1240,-2.8131
1250,0.0503
1260,2.9
1270,1.7566
1280,-1.7194
1290,-2.9292
1300,0.0218
1310,2.9037
1320,1.6801
1330,-1.8028
1340,-2.8675
1350,0.0812
1360,2.8804
1370,1.8267
1380,-1.6756
1390,-2.933
1400,-0.0595
1410,2.8958
1420,1.6639
1430,-1.6968
1440,-2.8198
1450,-0.0445
1460,2.7806
1470,1.7866
1480,-1.7908
1490,-2.922
1500,-0.038
1510,2.807
1520,1.6785
1530,-1.6974
1540,-2.8887
1550,-0.0726
1560,2.7706
1570,1.7544
1580,-1.6974
1590,-2.9011
1600,-0.0305
1610,2.854
1620,1.6643
